Unnamed: 0.1,Unnamed: 0,job_title,company,description,country,local_language_x,soft_skills,linkedin_id,contract,mode,city,sector,job_posting_title,linkedin_skills,linkedin_softskills_x,local_language_y,linkedin_softskills_y,communication,creativity,empathy,leadership,collaboration,flexibility,teamwork,adaptability,category
0,0,QA-Engineer (m/f/d),KUGU Home GmbH,"Why are we looking for you?We are KUGU. We make buildings energy efficient and sustainable!As a SaaS solution, we make energy consumption transparent and visualise it on our energy data platform. This way we reduce CO2 emissions and increase resource efficiency for our customers!We are still at the beginning of our journey to become the leading energy data platform in Europe!That's why we're looking for a dedicatedQA-Engineer(m/f/d)in Berlin.Join us and contribute to climate change!Your missionYou ensure the quality of our platform with the help of automated and manual testsYou estimate, prioritize, plan and coordinate all test activities?with a high degree of autonomyYou cooperate with our product managers to adjust the product development process that the quality of our product is constantly increasingYou are in close contact with the product, design and operations team, give feedback and create understanding for a high-quality standard throughout the companyYou promote and support the shift left approach throughout the SDLCYour profile3+ years of experience in JavaScript2+ years experience working with tools like Cypress or Selenium2+ years of experience with API testing using Postman/SoapUIYou understand software architecture and can work with databases, ReST APIs, messaging engines, logs, etc.You are able to think your way into complex issues in a fast-changing Start-up environmentYou love to support your team actively and help solving with their problemsYou are fluent in spoken and written English (C1)You don't meet all the points with your profile and are unsure whether you should apply?Don't worry, motivation, experience and the will to learn count more for us than the formal CV. Give us the chance to get to know you!Why KUGU?As a team, we want to make a difference to an entire industry through our innovation. We live sustainability, have lots of fun together and much more:The basics:Exciting insights into a dynamic and growing green start-upImplementation of your ideas through flat hierarchies and short decision-making pathsPromising career opportunities & flexible working modelsCold drinks in the fridge and a wide range of delicious snacksThings our team loves:Enjoy the end of the day with the team, drinks & table football in our community spaceBook a talk, mindful session or masterclass with the OpenUp psychologistsThe option for cool benefits Â¨C such as the use of our pool car, subsidies for lunch, travel tickets and pension schemesExciting team events with insights into the culture, history and gastronomy of BerlinStart the day with language coursesAn industrial style office in Prenzlauer Berg with very good transport connectionsFind out whether your heating and utility bills are correct Â¨C our team will be happy to help!Questions?Our People Operations & Recruiting Manager Tom will be happy to help you! Simply contact him via Mail or LinkedIn.About usWe are a diverse team of international techies, designers and business wannabes. We share a passion for new technologies that do good and simplify the lives of users.Want to learn more about KUGU?Visit our website for more information about our products, customers and partnersOn our LinkedIn page you will find news about KUGU, our team and our projectsYou have not found the right position? Take the initiative - we look forward to receiving your application at jobs@kugu-home.com",Belgium,0,[],,,,,,,,,,,0,0,0,0,0,0,0,0,Data Analysis and Data Science
1,1,Senior Business Intelligence Manager (all genders),DYMATRIX GmbH,"General: Do you fancy intelligent business?Then we have something for you!For the further expansion of our innovative team, we are looking for the next possible date for the locationestuttgart, Cologne, HamburgodermÂ¨Â¹nchenin full-time or part-time Econsultant Business Intelligence (all genders). The tasks: With our CUSTOMER Experience, you platform our B2B customers, personalized and automated marketing campaigns for everyoneTo plan, implement and optimize channels along the Customer Journey. UNSEREDATA SERVICESED Service uses in the technical development of the 360-degree CDP with the aim of a multi-channel customer view: You support our customers in the data integration (from different sources such asWeb shops, customer cards), data refinement (such as identifying duplicates) and Demreportingmittels Powerbi.to be able to advise along the customer journey. Ob cloud or on-premise-you ensure the implementation of our business intelligence projects based on different technologies such as Demms SQL Server or Postgres. With the latest solutions of our leading technology partners: Inside you support the further development of our Saas-Plattform in the MS Azure Cloud. ... And you do not stop, but open up new trends and methods and develop yourself and our customers: Ideally, you can get this with: completed studies with (IT) technical focus (computer science, Business informatics) or comparable training skills in methodology and procedure in carrying out business intelligence project experience in Microsoft BI-Umfeld (Microsoft SQL Server including integration Services and Analysis Services) Experience with big data technologies (ideally in the data bricks environment,especially Apache Spark) Knowledge in the areas of marketing and/or controlling Wish German and good English skills about our matrix is ??the leading German software, solution and service provider for data-driven marketing automation based on AI in the Dach region.Our customers benefit from our experience and expertise from more than 2,000 projects for over 200 customers from medium-sized companies, Dax-nodes large companies, with special providers and market leaders.And that for 20 years. Our customer experience platform, consisting of industry-specific customer data platform, the Marketing Automation Software Dynacampaign and its own Ki & Customer Insights Platform, accompany and advise our industry experts as part of the set-up and beyond.The product portfolio is supplemented by the Econda brand with the areas of personalization, recommendation and web analysis solutions.Through cookeess tracking and target group-specific onsite personalization, we guarantee the highest quality and expertise.",Belgium,1,[],,,,,,,,,,,0,0,0,0,0,0,0,0,Data Analysis and Data Science
2,2,Global Medical Science Manager (m/w/d),Dr. Falk Pharma GmbH,"As the experts in digestive and metabolic medicine and as a family-owned business with a global presence, we focus on developing and marketing innovative medicines to treat a wide range of gastrointestinal disorders like inflammatory bowel disease or eosinophilic esophagitis as well as hepatobiliary disorders such as primary biliary cholangitis. Our aim: to meaningfully improve therapeutic practice as well as patient health and well-being. We firmly believe that medical progress can only be achieved by working together. That is why we are looking for:Your tasksWe look for someone who is a healthcare enthusiast and who is capable of assimilating and interpreting scientific content or a wealth of clinical efficacy and safety data with adeptness in ability to translate into a logical, scientifically balanced compelling medical story for appropriate audience.Create  scientific presentations, lectures, training courses, speaker decks, FAQ documents etc. with targeted content for the respective stakeholdersCollaborate with Regulatory Affairs and/or R&D on creation and review of regulatory (EMA and FDA) and clinical content and documentation, related to new drugs, clinical trials, as well as medical treatments (f.ex. parts of clinical dossier module 2.5, scientific advice requests, investigator brochuresÂ¡Â¯ clinical parts) - with focus on epidemiology, therapeutic area or indication background, national and international guidelines and patient journey/medical need, based on study reports, medical-scientific publications and other literature and key external expertsÂ¡Â¯ insightsAnswer and process (in close cooperation with the global safety department) internal and external medical inquiries from health care providers, patients, affiliatesÂ¡Â¯ colleagues and/or distribution partnersConduct extensive research on medical-related topics to ensure competent, factual, accurate and compliant communication and information on pharmaceutical-medical issues internally and externallyInput and participate in scientific events and international stand-alone symposia of the companySupport  the Scientific Innovation & Partnering department through medical evaluation and due diligence support of potential pipeline candidates, contact with opinion leadersFor your daily work you will collaborate closely  cross-functionally with R&D, Regulatory Affairs, Marketing, Market Access, etc.Your dutiesDegree in natural sciences, preferably medicine, pharmacy or biology/biochemistry, doctorate desirablePharma industry experience in medical science (medical advisor,Â¡Â­) at an international (European) levelExperience in gastroenterology and hepatology is a strong advantageIndependent and structured way of working, strong communication skills, empathetic and transparent personality. Clarity and accuracy is natural for youVery good written and spoken English and German, other foreign languages such as Italian and/or French an advantageProficient in MS Office and Teams/Sharepoint and literature databases, Prism Graph Pad or Adobe Illustrator knowledge very welcomeYour benefitsSupportive, respectful and appreciative work atmosphere in a small, dedicated teamDiverse learning culture and individual development opportunitiesInternational and growing family business with short decision-making processes, financial independence and long-term perspectiveNew work, flexible working hours and mobile workingWide range of benefits (free beverages, health and sports benefits, canteen, JobRad)Comprehensive onboarding and mentoring programIf you have any questions, please do not hesitate to contact us at personal@drfalkpharma.de or call + 49 761 1514-102. We look forward to receiving your
application via our online portal.HR department


Dr. Falk Pharma GmbH


Leinenweberstra?e 579108
Freiburg im Breisgau",Belgium,0,['communication'],,,,,,,,,,,1,0,0,0,0,0,0,0,Data Analysis and Data Science
3,3,Customer Success Manager (all genders),DYMATRIX GmbH,"General: Sales and customer communication are your passion?Do you enjoy the advice and support of existing customers and have experience already gained experience here?Perfect, then we are looking for you for our Customer Success Team! Your tasks: As part of our Customer Success Team, you will cheat and advise our customers.Here you develop our existing customers actively through cross- and upseling further support our customers in the operation of our tools, maintain the customer relationships and secure your satisfaction with training and webinars you present our customers and use cases so that they can safely work with our productsare the voice of our customers and represent them as an interface to our other departments, ideally you bring with you: you have already been able to gain professional experience in the sales environment, ideally in e-commerce or SaaS environment structure and the maintenance of customer relationships is fun and fun with youYour ambitious and self-confident personality will succeed in reach your sales goals to achieve endurance and self-motivation. You can also successfully challenge situations for mastering good German skills as well as very good oral and written communication skills over our is the leading German software, solution and service provider for data-driven marketingAutomation based on AI in the roof region.Our customers benefit from our experience and expertise from more than 2,000 projects for over 200 customers from medium-sized companies, Dax-nodes large companies, with special providers and market leaders.And that for 20 years. Our customer experience platform, consisting of industry-specific customer data platform, the Marketing Automation Software Dynacampaign and its own Ki & Customer Insights Platform, accompany and advise our industry experts as part of the set-up and beyond.The product portfolio is supplemented by the Econda brand with the areas of personalization, recommendation and web analysis solutions.Through cookeess tracking and target group-specific onsite personalization, we guarantee the highest quality and expertise.",Belgium,1,['communication'],,,,,,,,,,,1,0,0,0,0,0,0,0,Data Analysis and Data Science
4,4,Test Operator (m/f/w),Mynaric AG,"Your way into the futureJoin us asTest Operator (m/f/x)and work with us on changing the future!What awaits you at MynaricAs part of our Environmental Test Team, you operate our test beds (shaker, thermal chambers, and optical test beds) to test high-tech, bleeding-edge laser communication terminals rolling off our assembly line.You support the maintenance and calibration of various test equipment and handle the associated documentation.In close cooperation with our Test Engineers, you prepare, execute, and document tests in the areas of structural mechanics, thermal, optics and electronics.You assist in the preparation and improvement of testing procedures and setups.You bring your creativity and experience to an innovative high-tech company.You provide feedback to our engineers, production, and project teams regarding the practical aspects of test design and execution.What you bring with youSuccessfully completed vocational training in a technical field or relevant experience working with multi-disciplinary systems. Work experience in the field of testing is a plus.You have a passion to work at the cutting edge of technology.Ideally, you are proficient in test planning, execution, and documentation.You are a team player, eager to learn and share knowledge.You have a hands-on mindset for practical solutions and a distinct can-do-attitude.The ability to communicate in German or English is necessary.You are creative, proactive, and can independently find optimum solutions to complex technological problems.The willingness to learn and expand your skillset continually.What we offer youBe part of the company that is changing the world!Have you always wanted to wear your favourite space outfit to work? Then you are exactly theright fit for us! Forget the office politics and come and work with inspiring colleagues from allover the world as you embark on an incredible journey with Mynaric to work on unique andchallenging projects and make a real contribution to the future of connectivity.We offer you permanent employment, varied areas of responsibility, and attractive employeebenefits. Mynaric is absolutely committed to being an equal opportunity employer so wewelcome applications from all qualified individuals regardless of ethnicity, sex, gender,disability, religion/belief, sexual orientation or age.About usMynaric produces optical fiber for the skies and, as a pioneer in laser communications, enables extremely fast and secure wireless data transmission between satellites, drones and the ground. The products are used by well-known international technology companies to build global communication networks. The emerging Internet over the clouds will connect the previously disconnected 3 billion people, bring the Internet of Things to the remotest corners of the earth and make international communication more secure than ever.",Belgium,0,"['communication', 'creativity']",,,,,,,,,,,1,1,0,0,0,0,0,0,Data Engineering and Technical Support
5,5,Enterprise Account Executive (f/d/m),CEEZER Software GmbH,"THE ROLEAre you ready to make a real impact? Are you excited by the opportunity to use your exceptional sales skills to unlock climate action for enterprise organizations?Then join CEEZER and help companies across the globe to leverage a truly impactful solution that is finally fixing the voluntary carbon market through data-led insights. Use your skills to tackle one of the most critical challenges humanity has ever faced: climate change.Businesses must decarbonize their operations to achieve real climate progress. Some emissions are unavoidable, and thatÂ¡Â¯s where CEEZER comes in.CEEZER is a platform for CO2 compensation and high-tech removal credits with access to >9,000 climate projects worldwide, verified by globally recognized registries. Transactions take place between corporations and project developers at the source, without any middlemen or hidden fees. CEEZER achieves this by providing scientific quality and pricing insights that help buyers and sellers interact, while allowing them to monitor credits in a balanced, high-quality portfolio.We are looking for a highly motivated Enterprise Account Executive (f/d/m). YouÂ¡Â¯ll work closely with our experienced founding team & SVP Growth in a collaborative, fast-moving, VC-funded startup.YOUR TASKSYou come with a hunter mindset and are at the forefront of driving our revenue growth by generating new business and developing a long-term client-base. You achieve this by:Taking ownership of the full sales cycle from prospecting to close and beyondLead complex negotiations and contract discussions, ensuring favorable terms and timely deal closuresDelivering a value-based selling experience to customersEngaging with prospective customers to understand their sustainability strategy and carbon credit needsEnsuring customers achieve their net-zero goals and business objectives by deriving maximum value of our productMaintaining and managing the customer pipeline in our CRM platformWorking closely with our Solutions team to develop high-quality carbon portfolios to support client goalsPartnering with Marketing to leverage campaigns that drive engagement and leadsAttending conferences and travel as needed to meet with prospective and current clients, participate in networking opportunities to build brand awareness, and generate leadsWHAT YOU NEED TO SUCCEEDExtensive Enterprise Sales experience with complex multi-stakeholder sales cyclesFluency in English, and additional languages are a plusProven track record of exceeding sales targets and acquiring enterprise clientsStrong understanding of enterprise sales processes and methodologies, including account planning and pipeline managementExcellent communication and interpersonal skills, with a proven ability to work collaboratively in a team environmentExcellent presentation skills with the ability to articulate complex ideas and solutions in a compelling manner to C-level executives and lawyersExperience in a startup or similar fast-paced environmentSelf-motivated, results-oriented, and capable of working independentlyExperience in sustainability, or the Voluntary Carbon Market is a plusWHY CEEZERMake a positive impact on the world and work on a mission that mattersA rapidly growing international team of talented and highly committed people who are significantly contributing to the net zero transitionStrong learning and development culture in a VC-backed, early-stage startupCompetitive salaryFree Urban Sports Club membershipOffsites, team dinners and other after-work team activitiesCEEZER is a carbon positive company that will neutralize your footprint from day 1A truly inclusive environment - diversity is in our DNA and we flourish as a team of different races, genders, sexual orientations, and identitiesAbout usBusinesses must decarbonize their operations to achieve real climate progress. Some emissions are unavoidable, and thatÂ¡Â¯s where CEEZER comes in.CEEZER is a platform for CO2 compensation and high-tech removal credits with access to >8.000 climate projects worldwide, verified by globally recognized registries. Transactions take place between corporations and project developers at the source, without any middlemen or hidden fees. CEEZER achieves this by providing scientific quality and pricing insights that help buyers and sellers interact while allowing them to monitor credits in a balanced, high-quality portfolio.",Belgium,0,['communication'],,,,,,,,,,,1,0,0,0,0,0,0,0,Data Analysis and Data Science
6,6,Cloud SysOps Administrator,Lobster Holding GmbH,"Position Overview:This is a vacancy for a hybrid/on-site role at our HQ in Tutzing. We encourage applications from all qualified candidates, regardless of gender identity.As we expand, we are seeking a skilledCloud SysOps Administrator (m/f/x)to join our Cloud Services team, where your work will bridge customer environments with the Lobster Data Platform Cloud infrastructure, establishing secure and efficient connections.In this role, you will manage customer systems and software as they transition into a cloud environment, working with platforms such as AWS or, for some customers, continuing to support on-premises setups. Ready to make an impact?YouÂ¡Â¯ll get to take ownership of:Transferring and maintaining infrastructure support for Lobster customers, managing both cloud (AWS) and on-premises (local data centre) environments.Work with AWS, utilizing tools like AWS CloudFormation to deploy and configure customer applications and services.Connect customer systems securely to the Lobster Cloud infrastructure, setting up VPNs such as IPSEC for seamless integration.Provide technical assistance and troubleshooting support to customers, ensuring a smooth operational experience.Monitor, maintain, and optimize network, server, and firewall infrastructure to ensure high availability and security.Collaborate with the team to continuously improve infrastructure reliability, scalability, and security standards.WeÂ¡Â¯d love to meet someone with:Professional background in the field of computer science, with experience working in SysOps, Cloud Administration or a related fieldStrong knowledge of cloud platforms, particularly AWS, ideally with hands-on experience using AWS CloudFormationIn-depth understanding of operating systems such as Linux, and strong general IT infrastructure skillsProficiency in network setup, server management, and firewall configuration, with expertise in VPNs and IPSECPython coding skills,with the ability to write scripts for automation and systems management.You communicate fluently inGerman(within the team and with the customers), and having a conversational level of English is welcomed.Nice to Have:Experience with Terraform.You can look forward to:State-of-the-art, spacious offices with a view of Lake Starnberg in TutzingSubsidised lunches in our in-house restaurantA cycling package through our partnership with JobRad, plus additional cash incentives if you commute regularly by bikeOpportunity to work flexibly from homeTeam get-togethers every Thursday with refreshmentsA Company Pension Plan (bAV)30 vacation days a yearReady to explore this opportunity? Apply now!Lobster is an equal opportunity employer. We are committed to fostering a diverse and inclusive environment where empathy and respect guide our interactions.About usLobster is a pioneering no-code software company that enables organisations to unlock the full potential of their data. Its comprehensive Data Platform allows companies to integrate, manage, and automate data efficiently, while its Data Network facilitates secure and seamless data exchange between partners and systems. From connectivity to consumable Data Products, LobsterÂ¡Â¯s solutions empower businesses across industries to stay agile and competitive. With a presence in DACH, the UK, France, Scandinavia, and the Benelux region, Lobster serves over 2,000 customers globally.",Belgium,0,['empathy'],,,,,,,,,,,0,0,1,0,0,0,0,0,Data Engineering and Technical Support
7,7,Teamlead Design (m/f/d),EGYM GmbH,"Your daily workoutAre you a creative visionary with a passion for design and leadership? Do you thrive in a fast-paced environment where innovation and collaboration are key? WeÂ¡Â¯re looking for a Teamlead Design (m/f/d) in Berlin to inspire and guide our talented team. In this role, youÂ¡Â¯ll be at the forefront of our creative efforts, shaping the visual identity of our brand and driving design excellence across all projects. You wonÂ¡Â¯t just be overseeing design workÂ¡ÂªyouÂ¡Â¯ll be a mentor, a strategist, and a champion for creativity. YouÂ¡Â¯ll work closely with the Head of Brand and other departments to ensure that every design project aligns with our companyÂ¡Â¯s goals and reflects our brandÂ¡Â¯s unique personality.Leadership:You provide strong leadership to the team of three designers, setting clear goals and expectations while fostering a positive and collaborative work environment that encourages innovation and creativityDesign Work:You ensure the delivery of top-notch design projects that meet or exceed quality standards and maintain brand consistency across all design initiativesCoordination:You work closely with the Head of Brand, marketing, and product teams to align design projects with overall company objectivesGuidance:You provide guidance, mentorship, and constructive feedback to team members as well as supporting the professional growth and development of the design teamProject Management:You oversee project timelines to ensure on-time delivery of design work whilst identifying and resolving design-related issues that may ariseCollaboration:You lead regular team meetings to discuss progress, challenges, and opportunities along with conducting performance reviews and setting objectives for team membersResource Management:You oversee the allocation of design resources and manage project budgets effectively to ensure the efficient use of resources for maximized productivity and creativityRecruiting & Onboarding:You assist in the recruitment and onboarding of new design team members and promote a positive, inclusive team culture that values diversity and collaborationYour fitness levelQualification:You held a BachelorÂ¡Â¯s degree in Graphic Design, Visual Arts, or a related fieldManagement:You have a proven track record of leading and managing design teams with at least 3 years experienceProfessional Expertise:You have a strong portfolio showcasing high-quality design workCommunication:You possess excellent communication and interpersonal skillsResilience:You have the ability to manage multiple projects simultaneously and deliver on tight deadlinesTools:You are proficient in design software and tools, such as Adobe Creative Suite, Figma, Miro and JiraMentorship:You are experienced in mentoring and developing design talentApproach:Your work is characterized by strong organizational skills and attention to detailYour training goal for your first 6 monthsUnderstanding:You gain a comprehensive understanding of our customers, target markets, and their needs to ensure that our design efforts resonate with themSpecializing:You identify key strengths within the team and help each member specialize in areas that align with their skills and our strategic goalsLead the Next Design Evolution:You take the lead in conceptualizing and driving the next evolution of our design strategy, pushing boundaries to elevate our brandOwnership:You take charge of updating and refining our brand and design guidelines, ensuring consistency and innovation across all touchpointsThe equipment we provideModern & International:Be part of a modern and international company culture where talent and passion are welcome, heard, and part of the decision-making processWork-Life-Balance:Benefit from flexible working hours, home office possibilities, and 30 days of vacation per yearContinuous Development:Develop your skills with varied, challenging tasks and regular feedback to benefit from a steep learning curveFit & Healthy:Train for free with EGYM Wellpass in several thousand sports and health facilities across Germany and/or use our in-house gym with EGYM productsDiscounts:Get a variety of great discounted offers, from fashion to leisure, through our employee benefits portalBike Leasing:Stay active and use our leasing bike offer on your way to work or in your spare timeSubsidized Pension:Profit from our employer-subsidized pensionContact InformationPlease upload your complete documents (CV, salary expectations, earlies possible starting date and portfolio with work samples) in PDF format, citing ID #1443.Contact person: Jana FakeschFor more information: https://career.egym.com/Data protection information applies to the application process.About usBecome part of EGYM!EGYM is a global fitness technology leader, providing fitness and health facilities with intelligent workout solutions. EGYM makes exercising smarter and more efficient with its comprehensive suite of connected gym equipment and digital products that integrate seamlessly with 3rd-party-hard- and software. The result is a fully connected training experience that drives measurable business and health outcomes on and off the training floor.EGYM also offers subscription-based corporate fitness- and wellness solutions built on a combination of gym-access and EGYM fitness programs that directly target costly chronic conditions and boost employee health, leading to higher productivity and well-being.EGYM's global headquarters are in Munich, Germany, with North American offices in Denver, Colorado.EGYM is an equal opportunity employer. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs, regardless of race, gender, religion, sexual orientation, age or any other aspect of an individual's identity.",Belgium,0,"['communication', 'creativity', 'leadership', 'collaboration']",,,,,,,,,,,1,1,0,1,1,0,0,0,Data Management and Governance
8,8,Working Student DevOps (m/f/x),Cofinity-X GmbH,"Our vision - your futureCofinity-X is a joint venture founded in 2023 by BASF, BMW Group, Henkel, Mercedes-Benz, SAP, Schaeffler, Siemens, T-Systems, Volkswagen, and ZF. Established by industry experts, our company is primed for growth and is intended to be further led by professionals like yourself.Your missionSupport the automation of build, test, and deployment processes, with a focus on learning and applying CI/CD principlesAssist in maintaining and improving CI/CD pipelinesLearn to monitor applications and infrastructure using logs, metrics, and alerts to improve availability and performanceGain experience in managing applications within Kubernetes environments and learning best practices for containerizationSupport the organization and maintenance of code repositories using GitCollaborate with development teams to support the integration of new features and servicesAssist in managing Infrastructure as Code (IaC) with tools such as Terraform or Ansible, gaining hands-on experienceLearn to engage with open-source projects and contribute where possibleYour profileYou are an enrolled student in a relevant field of study (e.g., Computer Science, Software Engineering, Business Informatics)Basic knowledge of Git and interest in code repository managementInitial familiarity with DevOps tools (e.g., GitHub, CI/CD, or ArgoCD) and a willingness to learn moreInterest in container technologies (Docker and Kubernetes) and cloud environmentsCuriosity about automation, continuous delivery, and agile development processesA proactive, team-oriented working styleFluent in English and German. (or German is a plus)Why us?Free choice of hardware, also for private useMonthly lunch allowanceGermany Ticket for environmentally friendly mobility optionsRegular team events to strengthen cohesion and promote a positive working atmosphereA modern office with an impressive view of Cologne CathedralAbout usCofinity-X GmbH is based in Cologne and was founded in 2023. It is a joint venture of BASF, BMW Group, Henkel, Mercedes-Benz, SAP, Schaeffler, Siemens, T-Systems, Volkswagen and ZF. The vision of Cofinity-X is to run an open marketplace for the provision of own and third-party business applications and further services that enable secured and standardized data transfer along the automotive value chain in accordance with the Gaia-X and Catena-X principles with initial focus on the European market.",Belgium,0,[],,,,,,,,,,,0,0,0,0,0,0,0,0,Data Engineering and Technical Support
9,9,Digital Communications/ Web Development Manager (m-f-d),FSC Global Development GmbH,"The ScopeYou will work in a dynamic Digital Communications team and help take the digital presence of FSC to the next level. You will manage the web development process, and service providers including developers. You will also ensure that the requirements from all internal stakeholders are well understood, and based on them, help conceptualise a digital product. The ideal candidate will have experience in managing front and backend developers and taking on complex projects from planning to delivery points.Main Roles & ResponsibilitiesManage external consultants to develop and maintain websites, platforms, and applications.Manage digital projectsÂ¡Â¯ full cycle, ensuring they are delivered within scope, on time, and to our high-quality standards.Create detailed and accurate project summaries, deliverables and roadmaps, constant monitoring and keeping up-to-date.Brief the project team and coordinate tasks, timelines, and deliverables.Design, create and test webpages with HTML, CSS, JavaScript, and content management systems.Maintain and monitor web architecture to ensure organization level cross platform consistency.Develop concepts for web applications, portals, and platforms. Critically monitor and identify discrepancies in developersÂ¡Â¯ work.Provide technical guidance to team members.Review, assess and provide recommendations on the usability and design of websites, applications, and portals; and ensure their consistency across FSCÂ¡Â¯s digital environment.Develop test plans and guidelines and test websites to ensure usability and accessibility standards.Identify opportunities and new technologies to increase the effectiveness of web solutions.Monitor and document web systems integration, APIs.Document, maintain and review codes.Implement web data tracking across all websites, apps, and platforms.Your profileQualification, Experience and SkillsWorking Education and Training:University degree or equivalent training or experience in a relevant field, for example Computer SciencesRecognised certification in web developmentWorking Experience, Style and Skills:5 years of experience in websites, online applications, and database managementProven experience in web developmentWorking experience in HTML, CSS and JavaScriptProven experience of working in content management systems (CMS) like Drupal, WordPress or Typo3Solid experience in working with CMS configuration and templates.Experience in implementing web data tracking in Google Analytics 4 and Google Tag ManagerGood time management skills: Ability to perform well while simultaneously handling several digital and web projects.Solution-oriented attitude to work and ability to understand stakeholder requirements.Agile project management experience.A strong sense of diligence and accuracy while creating digital concepts and reviewing the work of developers.Strong analytical and problem-solving skills.Proven ability to plan and organize work.Languages:Fluency in English (spoken and written).Spanish or French is a plusComputer Skills Â¨C good skills in the use of/experience with:Standard software packages (MS Office).Azure DevOpsContent Management Systems i.e. Drupal, Wordpress, DirectusHTML, CSS and JavaScriptUIUX tools such as Figma or Adobe XDCustomer Relations Management (CRM) systems is a plusLearning Managements System Moodle is a plusCommunication Skills:Exemplary verbal and written communication skillsActive-listening skillsOthers:Experience in working in a multi-cultural, multi-lingual, global team.Experience in working in / with an NGO or Non-Profit Organization.Commitment to FSCÂ¡Â¯s mission and values.Why us?Why Join FSC in Bonn, Germany?Be part of a globally recognized organization at the forefront of sustainable forestry and contribute to the mission to help protect the worldÂ¡Â¯s forests.Play an active role in the FSC global community of 400+ forest stewards who come together in-person at least once a year.Benefit from cross-cultural collaboration and networking opportunities by working in a dynamic, inclusive, and diverse international culture with over 60 nationalities represented under one roof.Enjoy comprehensive benefits, including relocation assistance if needed, and investment in training and development opportunities (e.g., LinkedIn Learning, Learning Lunches and more) to advance your career.Explore the vibrant federal city of Bonn, home to Beethoven, Haribo, and the beautiful Rhein River promenade including many urban parks and close access to nature. As Germany's UN City and second capital, Bonn is an international city with a rich cultural heritage, recently celebrating its 2000th anniversary. Learn more about the city or take a virtual stroll.Embrace work-life balance: beyond Bonn's borders, unlock Europe's wonders with 30 working days of vacation at your disposal. Whether it's skiing in the Swiss Alps or basking in the sun on Mediterranean shores, your European adventures await.Ready to make a difference? Join FSC and help shape a sustainable future. Apply now with your resume and cover letter, showcasing your achievements and how you can contribute to FSC's mission.The Fine PrintTerms and ConditionsLocation: Bonn, Germany.Working Hours: Full time - 40 hours per week.Duration of Employment: Initial 2-year contract with intent to extend.Starting Date: As soon as possible.How to ApplyReady to make a difference? Join FSC and help shape a sustainable future. Don't delay - apply now!Please apply via our website by submitting your CV in English.Please do not send any photos of yourself.The deadline for applications is18 November2024.Applications will be reviewed on a rolling basis.We will confirm receipt of your application. Should you not receive a confirmation of receipt please check your spam filter and if you cannot find it there contact us at careers@fsc.orgFor FSC, inclusiveness and diversity are important values. As such, we welcome and encourage applications from all backgrounds and are entirely committed to consider all qualified applicants regardless of race, gender, sexual orientation, religion, ethnicity, age and disability.Please be informed, that by applying for this position you automatically accept our Data Protection Information on processing your personal data.We are looking forward to your application!About usWelcome to FSC!The Forest Stewardship Council (FSC) is a globally recognized non-profit organization at the forefront of promoting sustainable forestry. With over 150 million hectares of certified forests and a trusted reputation among NGOs, consumers, and businesses, FSC is leading the way in ensuring the long-term health and resilience of the worldÂ¡Â¯s forests.",Belgium,0,"['communication', 'collaboration']",,,,,,,,,,,1,0,0,0,1,0,0,0,Data Analysis and Data Science
